City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
620,Ilyich,KZ,40.8464,68.5067,73.85,35,0,7.63,Clear
621,Portlethen,GB,57.0547,-2.1307,58.93,71,100,8.05,Clouds
622,Noyabrsk,RU,63.1994,75.4507,50.59,71,0,9.35,Clear
623,Sur,OM,22.5667,59.5289,88.38,61,55,8.95,Clouds
624,Coquimbo,CL,-29.9533,-71.3436,60.53,67,20,2.3,Clouds
625,Cravo Norte,CO,6.3017,-70.2041,74.66,94,100,4.36,Rain
626,Lipari,IT,38.4674,14.954,84.33,61,0,3.15,Clear
627,La Orilla,MX,17.9833,-102.2333,88.14,59,22,9.55,Clouds
628,Ramanuj Ganj,IN,23.8,83.7,78.1,82,100,4.23,Rain
629,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.0,79,40,6.91,Clouds
630,Verkhnevilyuysk,RU,63.4453,120.3167,62.29,88,100,4.09,Clouds
631,San Quintin,MX,30.4833,-115.95,78.26,54,17,10.58,Clouds
632,Baykit,RU,61.67,96.37,61.57,97,76,3.44,Clouds
633,Mana,GF,5.6592,-53.7767,82.96,73,26,7.56,Clouds
634,Morant Bay,JM,17.8815,-76.4093,96.71,69,7,15.84,Clear
635,Bintulu,MY,3.1667,113.0333,77.41,88,40,1.14,Clouds
636,North Berwick,GB,56.0583,-2.7229,63.9,76,22,6.71,Clouds
637,Makarov,RU,48.6333,142.8,52.39,85,0,2.01,Clear
638,Ismailia,EG,30.6043,32.2723,79.72,72,0,8.16,Clear
639,Lucapa,AO,-8.4192,20.7447,75.34,25,2,1.77,Clear
640,Parkes,AU,-33.1333,148.1833,50.36,93,100,8.39,Rain
641,Piracanjuba,BR,-17.3028,-49.0167,88.36,19,0,2.98,Clear
642,Nouadhibou,MR,20.931,-17.0347,78.78,73,21,10.36,Clouds
643,Mitsamiouli,KM,-11.3847,43.2844,73.69,83,40,3.44,Clouds
644,Tra Vinh,VN,9.9347,106.3453,77.94,92,100,5.41,Rain
645,Vao,NC,-22.6667,167.4833,68.74,75,100,24.67,Clouds
646,Koungou,YT,-12.7336,45.2042,74.91,88,75,0.0,Clouds
647,Gao,ML,16.6362,1.637,101.53,13,34,5.39,Clouds
648,Parana,AR,-31.732,-60.5238,74.55,39,0,2.51,Clear
649,Ubauro,PK,28.1652,69.7289,92.39,58,100,6.15,Clouds
650,Skibbereen,IE,51.55,-9.2667,63.1,73,100,13.78,Clouds
651,Evensk,RU,61.95,159.2333,53.58,83,100,2.13,Clouds
