City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Napier,NZ,2022-07-28 20:31:45,-39.4833,176.9167,55.27,66,45,4.0
89,Puerto Ayora,EC,2022-07-28 20:21:44,-0.7393,-90.3518,78.76,91,77,8.99
90,Ilulissat,GL,2022-07-28 20:27:51,69.2167,-51.1,51.82,62,40,4.61
91,Biltine,TD,2022-07-28 20:31:46,14.5333,20.9167,82.99,61,25,9.98
92,Axim,GH,2022-07-28 20:31:47,4.8699,-2.2405,75.79,78,48,11.1
93,Broome,US,2022-07-28 20:25:14,42.2506,-75.833,82.6,69,100,9.22
94,Trelew,AR,2022-07-28 20:31:48,-43.249,-65.3051,57.47,38,0,17.27
95,Harnosand,SE,2022-07-28 20:31:48,62.6323,17.9379,57.99,59,89,5.32
96,Lebu,CL,2022-07-28 20:22:30,-37.6167,-73.65,52.43,78,0,14.45
97,Atuona,PF,2022-07-28 20:31:49,-9.8,-139.0333,76.37,78,28,24.29
98,Shingu,JP,2022-07-28 20:31:49,33.7333,135.9833,77.05,91,74,4.99
99,Jamestown,US,2022-07-28 20:26:18,42.097,-79.2353,82.02,40,20,14.97
100,Tasiilaq,GL,2022-07-28 20:22:46,65.6145,-37.6368,41.16,94,100,3.94
101,Mount Gambier,AU,2022-07-28 20:26:29,-37.8333,140.7667,33.71,100,7,0.0
102,Ribeira Grande,PT,2022-07-28 20:21:34,38.5167,-28.7,75.6,69,75,2.3
103,Puyang,CN,2022-07-28 20:31:51,29.4603,119.8861,75.61,89,43,1.36
104,Shizunai,JP,2022-07-28 20:31:51,42.3339,142.3669,69.03,94,45,1.34
105,Little Current,CA,2022-07-28 20:31:52,45.9793,-81.9248,73.42,71,7,21.09
106,Valparaiso,CL,2022-07-28 20:31:52,-33.0393,-71.6273,69.44,59,0,16.11
107,Albany,US,2022-07-28 20:27:42,42.6001,-73.9662,90.05,49,100,1.01
108,Greeneville,US,2022-07-28 20:31:53,36.1632,-82.831,79.32,94,75,0.0
109,Palmer,US,2022-07-28 20:28:05,42.1584,-72.3287,90.21,58,40,13.8
110,Fengzhen,CN,2022-07-28 20:31:53,40.4394,113.1536,64.94,54,69,3.51
111,Winnemucca,US,2022-07-28 20:31:54,40.973,-117.7357,98.65,12,0,9.22
112,Cherskiy,RU,2022-07-28 20:27:37,68.75,161.3,53.74,50,7,4.0
113,Clyde River,CA,2022-07-28 20:27:46,70.4692,-68.5914,39.43,100,100,14.97
114,Zharkent,KZ,2022-07-28 20:31:55,44.1628,80.0,74.68,55,100,2.26
115,Port-Gentil,GA,2022-07-28 20:31:55,-0.7193,8.7815,75.16,83,40,8.05
116,Wangqing,CN,2022-07-28 20:31:56,43.3218,129.7634,68.59,96,100,2.59
117,Morant Bay,JM,2022-07-28 20:31:56,17.8815,-76.4093,84.7,72,22,9.04
118,Mount Vernon,US,2022-07-28 20:27:02,40.9126,-73.8371,92.52,67,75,12.66
119,Nanortalik,GL,2022-07-28 20:23:46,60.1432,-45.2371,45.43,81,39,6.78
120,Ardahan,TR,2022-07-28 20:31:57,41.1087,42.7022,52.07,80,0,2.46
121,Hasaki,JP,2022-07-28 20:27:38,35.7333,140.8333,77.29,90,79,10.94
122,Koumac,NC,2022-07-28 20:31:58,-20.5667,164.2833,69.19,77,0,6.42
123,Lavrentiya,RU,2022-07-28 20:22:20,65.5833,-171.0,43.7,88,100,4.94
124,Hithadhoo,MV,2022-07-28 20:31:59,-0.6,73.0833,81.97,74,98,12.41
125,Mehamn,NO,2022-07-28 20:26:31,71.0357,27.8492,49.95,81,75,8.05
126,Teknaf,BD,2022-07-28 20:31:59,20.8624,92.3058,80.1,86,100,5.06
127,Ahipara,NZ,2022-07-28 20:29:03,-35.1667,173.1667,56.3,73,99,10.71
128,Tomatlan,MX,2022-07-28 20:32:01,19.9333,-105.25,89.73,51,42,8.28
129,Bethel,US,2022-07-28 20:33:02,41.3712,-73.414,89.37,71,40,10.36
130,Torbay,CA,2022-07-28 20:33:02,47.6666,-52.7314,61.75,87,100,17.27
131,Arraial Do Cabo,BR,2022-07-28 20:33:02,-22.9661,-42.0278,78.76,65,0,11.5
132,Manta,EC,2022-07-28 20:33:03,-0.95,-80.7333,78.58,73,20,9.22
133,Daru,PG,2022-07-28 20:33:03,-9.0763,143.2092,75.92,91,98,18.14
134,Barreirinha,BR,2022-07-28 20:33:04,-2.7933,-57.07,82.85,63,100,2.13
135,Alta Floresta,BR,2022-07-28 20:33:04,-9.8756,-56.0861,94.82,24,0,4.61
136,Russell,US,2022-07-28 20:30:50,32.3502,-85.1999,92.35,52,0,3.44
137,Delta Del Tigre,UY,2022-07-28 20:33:05,-34.7633,-56.3853,50.41,81,100,11.5
138,Bara,NG,2022-07-28 20:33:06,10.3744,10.7288,73.62,90,74,6.46
139,Verkhoyansk,RU,2022-07-28 20:33:06,67.5447,133.385,76.03,49,78,1.9
140,Krasnovishersk,RU,2022-07-28 20:33:07,60.4078,57.082,56.39,79,7,2.44
141,Kruisfontein,ZA,2022-07-28 20:27:40,-34.0033,24.7314,59.85,65,0,7.76
142,Yellowknife,CA,2022-07-28 20:23:33,62.456,-114.3525,64.92,63,100,12.66
143,Sitka,US,2022-07-28 20:33:08,57.0531,-135.33,58.89,88,100,9.22
144,Olafsvik,IS,2022-07-28 20:33:08,64.8945,-23.7142,44.65,84,100,16.26
145,Srednekolymsk,RU,2022-07-28 20:21:14,67.45,153.6833,51.84,57,6,10.27
146,Codrington,AU,2022-07-28 20:24:52,-38.2667,141.9667,44.92,77,13,5.17
147,Evensk,RU,2022-07-28 20:33:10,61.95,159.2333,53.28,58,100,3.42
148,Chumikan,RU,2022-07-28 20:33:10,54.7183,135.315,54.72,97,100,1.66
149,San Juan,AR,2022-07-28 20:32:01,-31.5375,-68.5364,61.79,34,0,3.53
