City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Khipro,PK,84.15,Clouds,25.8285,69.3772,Wali M Dars Hottle
488,Dong Xoai,VN,75.13,Clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
489,San Cosme Y Damian,PY,75.38,Clear,-27.3167,-56.35,Posada Turística Aguapey
490,Souillac,MU,70.18,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
491,Acajutla,SV,84.27,Clouds,13.5928,-89.8275,Laureles
495,Olinda,BR,80.33,Clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
499,Hearst,CA,79.05,Clouds,49.6835,-83.6665,Companion
501,Kahului,US,80.62,Clouds,20.8947,-156.47,Maui Seaside Hotel
505,Tiarei,PF,77.02,Clouds,-17.5333,-149.3333,Le Rocher de Tahiti
507,Bubaque,GW,79.66,Clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
509,Cap Malheureux,MU,71.47,Clear,-19.9842,57.6142,Pereybere Hotel & Spa
511,Axim,GH,74.88,Clouds,4.8699,-2.2405,Axim Beach Resort And Spa
513,Itoman,JP,81.37,Rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
514,Metro,ID,74.28,Clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
515,Kirovskiy,RU,71.71,Rain,45.0917,133.5136,"Uyut, Gostinitsa"
517,Bethel,US,88.05,Clear,41.3712,-73.414,Courtyard by Marriott Danbury
518,Kanniyakumari,IN,79.63,Rain,8.0833,77.5667,Sparsa Kanyakumari
520,Bluefield,US,77.56,Clouds,37.2698,-81.2223,Economy Inn
521,Lazaro Cardenas,MX,88.32,Clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
530,Trat,TH,85.14,Rain,12.5,102.5,สวนหนิง-อัศ
531,Dawson Creek,CA,71.24,Clouds,55.7666,-120.2362,Peace Villa Motel
532,Massaguet,TD,83.41,Clouds,12.4755,15.4365,Alwatane
534,Jaffna,LK,82.67,Clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
536,Biak,ID,74.95,Clouds,-0.9131,122.8766,Penginapan Kim
537,Piranshahr,IR,75.63,Clear,36.701,45.1413,مسافر خانه سعدی
539,Tonj,SS,71.08,Clouds,7.2737,28.6822,Lakan Hotel
540,Camacha,PT,71.02,Clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
543,Piacabucu,BR,78.33,Clear,-10.4056,-36.4344,Piaçabuçu News
544,Vermilion,US,86.02,Clouds,40.1667,-87.7506,Sparkling Springs Cabin
547,Bontang,ID,74.37,Clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
549,Dabra,IN,86.81,Clouds,25.9,78.3333,Pankaj Sharma House
550,Ahuimanu,US,81.36,Clouds,21.4447,-157.8378,Paradise Bay Resort
551,Ypsonas,CY,81.57,Clear,34.6884,32.9574,Club Aphrodite
557,Nouakchott,MR,85.93,Clouds,18.0858,-15.9785,HOTEL IMAN
560,Bandarbeyla,SO,76.33,Clouds,9.4942,50.8122,JABIR HOTEL
564,Laguna,US,83.01,Clear,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
570,Tongliao,CN,73.0,Clear,43.6125,122.2653,Meirujia Hotel
571,Urucara,BR,85.44,Clouds,-2.5364,-57.76,Pousada Maria Bonita
572,Arona,ES,74.01,Clear,28.0996,-16.681,Paradise Court
573,Matara,LK,77.58,Clouds,5.9485,80.5353,Amaloh Boutique Resort
576,Bangarapet,IN,73.92,Clouds,12.9667,78.2,HGR Comforts
577,Manaus,BR,84.69,Rain,-3.1019,-60.025,Manaus Hotéis Millennium
578,Eyl,SO,77.13,Clouds,7.9803,49.8164,Amiin Hotel
585,Hamilton,US,79.32,Clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
586,Kumluca,TR,83.95,Clear,36.3703,30.2869,Akkol Apart
588,Port Blair,IN,78.84,Drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
589,Garden City,US,87.15,Clouds,42.3256,-83.331,Big Trees Mobile Home Community
592,Chirongui,YT,75.13,Clear,-12.9319,45.1483,La Villa Mahatsara
594,Umm Lajj,SA,88.72,Clouds,25.0213,37.2685,Moon light Furnished Units
595,Mamallapuram,IN,86.05,Clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
597,Kaseda,JP,82.2,Clouds,31.4167,130.3167,Sun Stay Kaseda
598,Kulachi,PK,77.07,Clouds,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
600,Kailua,US,81.64,Clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
601,Virginia Beach,US,89.01,Clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
602,Fuxin,CN,71.91,Clear,42.0156,121.6589,Xinya International Hotel
605,Sackville,CA,83.32,Clouds,45.9188,-64.3846,Sackville Bed and Breakfast
608,Trincomalee,LK,80.15,Clouds,8.5711,81.2335,Welcombe Hotel
610,Colon,PA,85.24,Clouds,9.3592,-79.9014,Sand Diamond Hotel
